,Alien taxon involved?,Wild formed,Hybrid Ploidy,Hybrid Chromosome number,Parent A,Parent B,Ploidy A,Chromosome number A,Ploidy B,Chromosome Number B,Within/Between Species,Is hybrid a species?,Within/Between ploidy level,Notes?,Hybrid Name,Aneuploidy,"Unless otherwise stated, ploidy estimates are from either the book, or The Kew database",Hybrid species name,Hybrid species nature
208,,NA,,,Salix phylicifolia,Salix myrsinites,Unknown,88,2,38,Between,No,Between,,,NA,NA,,
209,,NA,,,Salix repens,Salix lapponum,2,38,2,38,Between,No,Within,Also triple hybrid with arbuscula,,NA,NA,,
210,,NA,,,Salix repens,Salix arbuscula,2,38,2,38,Between,No,Within,,,NA,NA,,
211,,NA,,,Salix repens,Salix herbacea,2,38,2,38,Between,No,Within,,,NA,NA,,
212,,NA,,,Salix lapponum,Salix lanata,2,38,2,38,Between,No,Within,,,NA,NA,,
213,,NA,,,Salix lapponum,Salix arbuscula,2,38,2,38,Between,No,Within,"Record of lapponum, myrsinites and herbacea cross",,NA,NA,,
214,,NA,Diploid,38,Salix lapponum,Salix herbacea,2,38,2,38,Between,No,Within,,,NA,NA,,
216,,NA,,,Salix lanata,Salix herbacea,2,38,2,38,Between,No,Within,,,NA,NA,,
217,,NA,,,Salix arbuscula,Salix herbacea,2,38,2,38,Between,No,Within,,,NA,NA,,
218,,NA,,,Salix arbuscula,Salix reticulata,2,38,2,38,Between,No,Within,,,NA,NA,,
219,,NA,,,Salix myrsinites,Salix herbacea,2,"38, 190",2,38,Between,No,Within,,,NA,NA,,
220,,NA,,"20, 22, 24",Viola odorata,Viola hirta,2,20,2,20,Between,No,Within,,,NA,NA,,
221,,NA,,"33, 34",Viola rupestris,Viola riviniana,2,20,4,40 (+ 0-6 supernumeraries),Between,No,Between,,,NA,NA,,
222,,NA,,30,Viola riviniana,Viola reichenbachiana,4,40 (+ 0-6 supernumeraries),2,20,Between,No,Between,,,NA,NA,,
223,,NA,,40 (+0-6),Viola riviniana,Viola canina,4,40 (+0-6),4,40 (+0-7),Between,No,Within,,,NA,NA,,
224,,NA,,,Viola riviniana,Viola lactea,4,40 (+0-7),2,58,Between,No,Within,http://onlinelibrary.wiley.com/store/10.1111/j.1469-8137.1961.tb06242.x/asset/j.1469-8137.1961.tb06242.x.pdf?v=1&t=j2zyrg96&s=c6dbdaeb7ff10adc322c513665ecd821d88a7d16,,NA,NA,,
225,,NA,,,Viola reichenbachiana,Viola canina,2,20,4,40 (+0-7),Between,No,Between,,,NA,NA,,
226,,NA,,49,Viola canina,Viola lactea,4,40 (+0-7),2,58,Between,No,Between,,,NA,NA,,
227,,NA,,46-52,Viola lutea,Viola tricolor,Multiple,"48, 50",Unknown,26,Between,No,,Triple hybrid involved here x altaica is the GARDEN PANSY,,NA,NA,,
229,,NA,,,Viola tricolor,Viola arvensis,Unknown,26,Unknown,34,Between,No,Between,,,NA,NA,,
230,,NA,Tetraploid,40,Hypericum androsaemum,Hypericum hircinum,4,40,4,40,Between,No,Within,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3364718/,,NA,NA,,
231,,NA,,,Hypericum perforatum,Hypericum maculatum,4,32,Multiple,"16, 32",Between,No,Within,,,NA,NA,,
232,,NA,,,Hypericum undulatum,Hypericum tetrapterum,2,16,2,16,Between,No,Within,,,NA,NA,,
233,,NA,,,Hypericum humifusum,Hypericum linariifolium,2,16,2,16,Between,No,,,,NA,NA,,
234,,NA,Diploid,26,Geranium endressii,Geranium versicolor,2,26,2,26,Between,No,Within,https://books.google.co.uk/books?id=X8yOAwXfC9sC&pg=PA27&lpg=PA27&dq=geranium+endressii+chromosomes&source=bl&ots=bmERXTYTHZ&sig=bLiYG4r5bay14gjOqYv7r7uAEzE&hl=en&sa=X&ved=0ahUKEwiq6ZatjajXAhUJLMAKHR2gAKQQ6AEIPDAH#v=onepage&q=geranium%20endressii%20chromosomes&f=false,,NA,NA,,
236,,NA,Triploid,42,Geranium ibericum,Geranium platypetalum,4,56,2,28,Between,No,Between,,,NA,NA,,
237,,NA,,,Geranium macrorrhizum,Geranium dalmaticum,Multiple,46 (87-93),Unknown,46,Between,No,Within,,,NA,NA,,
238,,NA,,,Geranium robertianum,Geranium purpureum,4,64,2,32,Between,No,Between,G.robertianum an allopolyploid with one subgenome related to purpureum,,NA,NA,,
239,,NA,,30,Erodium cicutarium,Erodium aethiopicum,4,40,2,20,Between,No,Between,Could only synthesise with lebelii as female parent,,NA,NA,,
240,,NA,Diploid,36,Epilobium hirsutum,Epilobium parviflorum,2,36,2,36,Between,No,Within,http://etheses.dur.ac.uk/9126/1/9126_6057.PDF?UkUDh:CyT,,NA,NA,,
241,,NA,Diploid,36,Epilobium hirsutum,Epilobium montanum,2,36,2,36,Between,No,Within,,,NA,NA,,
242,,NA,Diploid,36,Epilobium hirsutum,Epilobium lanceolatum,2,36,2,36,Between,No,Within,,,NA,NA,,
243,,NA,Diploid,36,Epilobium hirsutum,Epilobium tetragonum,2,36,2,36,Between,No,Within,,,NA,NA,,
244,,NA,Diploid,36,Epilobium hirsutum,Epilobium obscurum,2,36,2,36,Between,No,Within,,,NA,NA,,
245,,NA,Diploid,36,Epilobium hirsutum,Epilobium roseum,2,36,2,36,Between,No,Within,,,NA,NA,,
246,,NA,Diploid,36,Epilobium hirsutum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
247,,NA,Diploid,36,Epilobium hirsutum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
248,,NA,Diploid,36,Epilobium parviflorum,Epilobium montanum,2,36,2,36,Between,No,Within,"Two triple hybrid combinations here, obscurum and roseum",,NA,NA,,
249,,NA,Diploid,36,Epilobium parviflorum,Epilobium lanceolatum,2,36,2,36,Between,No,Within,,,NA,NA,,
250,,NA,Diploid,36,Epilobium parviflorum,Epilobium tetragonum,2,36,2,36,Between,No,Within,,,NA,NA,,
251,,NA,Diploid,36,Epilobium parviflorum,Epilobium obscurum,2,36,2,36,Between,No,Within,"Two triple hybrids here, with tetragonum and palustre",,NA,NA,,
252,,NA,Diploid,36,Epilobium parviflorum,Epilobium roseum,2,36,2,36,Between,No,Within,,,NA,NA,,
253,,NA,Diploid,36,Epilobium parviflorum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
254,,NA,Diploid,36,Epilobium parviflorum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
255,,NA,Diploid,36,Epilobium parviflorum,Epilobium brunnescens,2,36,2,36,Between,No,Within,,,NA,NA,,
256,,NA,Diploid,36,Epilobium montanum,Epilobium lanceolatum,2,36,2,36,Between,No,Within,,,NA,NA,,
257,,NA,Diploid,36,Epilobium montanum,Epilobium tetragonum,2,36,2,36,Between,No,Within,,,NA,NA,,
258,,NA,Diploid,36,Epilobium montanum,Epilobium obscurum,2,36,2,36,Between,No,Within,,,NA,NA,,
259,,NA,Diploid,36,Epilobium montanum,Epilobium roseum,2,36,2,36,Between,No,Within,,,NA,NA,,
260,,NA,Diploid,36,Epilobium montanum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
261,,NA,Diploid,36,Epilobium montanum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
262,,NA,Diploid,36,Epilobium montanum,Epilobium alsinifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
263,,NA,Diploid,36,Epilobium montanum,Epilobium brunnescens,2,36,2,36,Between,No,Within,,,NA,NA,,
264,,NA,Diploid,36,Epilobium montanum,Epilobium pedunculare,2,36,2,36,Between,No,Within,,,NA,NA,,
265,,NA,Diploid,36,Epilobium lanceolatum,Epilobium tetragonum,2,36,2,36,Between,No,Within,,,NA,NA,,
266,,NA,Diploid,36,Epilobium lanceolatum,Epilobium obscurum,2,36,2,36,Between,No,Within,,,NA,NA,,
267,,NA,Diploid,36,Epilobium lanceolatum,Epilobium roseum,2,36,2,36,Between,No,Within,,,NA,NA,,
268,,NA,Diploid,36,Epilobium lanceolatum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
269,,NA,Diploid,36,Epilobium lanceolatum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
270,,NA,Diploid,36,Epilobium lanceolatum,Epilobium alsinifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
271,,NA,Diploid,36,Epilobium lanceolatum,Epilobium brunnescens,2,36,2,36,Between,No,Within,,,NA,NA,,
272,,NA,Diploid,36,Epilobium tetragonum,Epilobium obscurum,2,36,2,36,Between,No,Within,,,NA,NA,,
273,,NA,Diploid,36,Epilobium tetragonum,Epilobium roseum,2,36,2,36,Between,No,Within,,,NA,NA,,
274,,NA,Diploid,36,Epilobium tetragonum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
275,,NA,Diploid,36,Epilobium tetragonum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
276,,NA,Diploid,36,Epilobium obscurum,Epilobium roseum,2,36,2,36,Between,No,Within,,,NA,NA,,
277,,NA,Diploid,36,Epilobium obscurum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
278,,NA,Diploid,36,Epilobium obscurum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
279,,NA,Diploid,36,Epilobium obscurum,Epilobium anagallidifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
280,,NA,Diploid,36,Epilobium obscurum,Epilobium alsinifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
281,,NA,Diploid,36,Epilobium obscurum,Epilobium brunnescens,2,36,2,36,Between,No,Within,,,NA,NA,,
282,,NA,Diploid,36,Epilobium roseum,Epilobium ciliatum,2,36,2,36,Between,No,Within,,,NA,NA,,
283,,NA,Diploid,36,Epilobium roseum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
284,,NA,Diploid,36,Epilobium ciliatum,Epilobium palustre,2,36,2,36,Between,No,Within,,,NA,NA,,
285,,NA,Diploid,36,Epilobium ciliatum,Epilobium brunnescens,2,36,2,36,Between,No,Within,,,NA,NA,,
286,,NA,Diploid,36,Epilobium palustre,Epilobium anagallidifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
287,,NA,Diploid,36,Epilobium palustre,Epilobium alsinifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
288,,NA,Diploid,36,Epilobium palustre,Epilobium brunnescens,2,36,2,36,Between,No,Within,,,NA,NA,,
289,,NA,Diploid,36,Epilobium anagallidifolium,Epilobium alsinifolium,2,36,2,36,Between,No,Within,,,NA,NA,,
290,,NA,Diploid,14,Oenothera glazioviana,Oenothera biennis,2,14,2,14,Between,No,Within,,,NA,NA,,
291,,NA,Diploid,22,Circaea lutetiana,Circaea alpina,2,22,2,22,Between,No,Within,,,NA,NA,,
292,,NA,Diploid,42,Malva sylvestris,Malva neglecta,2,42,2,42,Between,No,Within,https://www.jstage.jst.go.jp/article/cytologia1929/33/2/33_2_188/_pdf,,NA,NA,,
293,,NA,,82,Tilia platyphyllos,Tilia cordata,2,82,2,82,Between,No,Within,,,NA,NA,,
294,,NA,,18,Daphne mezereum,Daphne laureola,2,18,2,18,Between,No,Within,,,NA,NA,,
295,,NA,,20,Helianthemum nummularium,Helianthemum apenninum,4,20,4,20,Between,No,Within,,,NA,NA,,
296,,NA,,24,Capsella bursa-pastoris,Capsella rubella,4,"16,32",2,16,Between,No,Between,,,NA,NA,,
297,,NA,,32,Rorippa palustris,Rorippa sylvestris,4,32,Multiple,"32,48",Between,No,Within,Not simple as rorippa sylvestris exists as a tetraploid pentaploid and hexaploid,,NA,NA,,
298,,NA,Triploid or Tetraploid,"24,32",Rorippa palustris,Rorippa amphibia,4,32,Multiple,"16,32",Between,No,Within or Between,,,NA,NA,,
299,,NA,,"32, 40",Rorippa sylvestris,Rorippa amphibia,Multiple,"32,48",Multiple,"16,32",Between,No,Within or Between,,,NA,NA,,
300,,NA,,32,Rorippa sylvestris,Rorippa austriaca,Multiple,"32, 48",2,16,Between,No,Between,,,NA,NA,,
301,,NA,,"24, 32",Rorippa amphibia,Rorippa austriaca,Multiple,"16, 32",2,16,Between,No,Between,,,NA,NA,,
302,,NA,,48,Nasturtium officinale,Nasturtium microphyllum,2,32,4,64,Between,No,Between,,,NA,NA,,
303,,NA,,"30, 32",Cardamine pratensis,Cardamine flexuosa,Multiple,"30, 56-58, 64, 72",4,32,Between,No,Within or Between,,,NA,NA,,
304,,NA,,24,Cardamine flexuosa,Cardamine hirsuta,4,32,2,16,Between,No,Between,,,NA,NA,,
305,,NA,,28,Brassica oleracea,Brassica napus,2,18,4,38,Between,No,Between,,,NA,NA,,
306,,NA,,29,Brassica napus,Brassica rapa,4,38,2,20,Between,No,Between,,,NA,NA,,
307,,NA,,18,Raphanus raphanistrum,Raphanus raphanistrum,2,18,2,18,Between,No,Within,,,NA,NA,,
308,,NA,,"36, 39-40",Cochlearia anglica,Cochlearia officinalis,Multiple,"36-44, 48-50",4,24,Between,No,Between,,,NA,NA,,
309,,NA,,24-35,Cochlearia officinalis,Cochlearia danica,4,24,6,42,Between,No,Between,,,NA,NA,,
310,,NA,,36-54,Limonium vulgare,Limonium humile,4,36,6,54,Between,No,Between,,,NA,NA,,
311,,NA,,18,Armeria maritima,Armeria arenaria,2,18,2,18,Between,No,Within,,,NA,NA,,
312,,NA,,20,Koenigia alpina,Koenigia weyrichii,Multiple,"20,22",2,20,Between,No,Within,,,NA,NA,,
313,,NA,,,Persicaria maculosa,Persicaria lapathifolia,4,44,2,22,Between,No,Between,,,NA,NA,,
314,,NA,,,Persicaria maculosa,Persicaria hydropiper,4,44,2,20,Between,No,Between,,,NA,NA,,
315,,NA,,,Persicaria maculosa,Persicaria mitis,4,44,4,40,Between,No,,,,NA,NA,,
316,,NA,,,Persicaria maculosa,Persicaria minor,4,44,4,40,Between,No,,,,NA,NA,,
317,,NA,,,Persicaria lapathifolia,Persicaria hydropiper,2,22,2,20,Between,No,Within,,,NA,NA,,
318,,NA,,,Persicaria hydropiper,Persicaria mitis,2,20,4,40,Between,No,Between,,,NA,NA,,
319,,NA,,,Persicaria hydropiper,Persicaria minor,2,20,4,40,Between,No,Between,,,NA,NA,,
320,,NA,,,Persicaria mitis,Persicaria minor,4,40,4,40,Between,No,Within,,,NA,NA,,
321,,NA,,54,Reynoutria japonica,Fallopia baldschuanica,8,88,2,20,Between,No,Between,,,NA,NA,,
322,,NA,,,Rumex cuneifolius,Rumex crispus,16,160,6,60,Between,No,Between,,,NA,NA,,
323,,NA,,,Rumex cuneifolius,Rumex conglomeratus,16,160,2,20,Between,No,Between,,,NA,NA,,
324,,NA,,,Rumex cuneifolius,Rumex obtusifolius,16,160,4,40,Between,No,Between,,,NA,NA,,
325,,NA,,,Rumex aquaticus,Rumex crispus,Multiple,"140, 200",6,60,Between,No,Between,,,NA,NA,,
326,,NA,,,Rumex aquaticus,Rumex sanguineus,Multiple,"140, 200",2,20,Between,No,Between,,,NA,NA,,
327,,NA,,,Rumex aquaticus,Rumex obtusifolius,Multiple,"140, 200",4,40,Between,No,Between,,,NA,NA,,
328,,NA,,,Rumex longifolius,Rumex crispus,6,60,6,60,Between,No,Within,,,NA,NA,,
329,,NA,,,Rumex longifolius,Rumex obtusifolius,6,60,4,40,Between,No,Between,,,NA,NA,,
330,,NA,,,Rumex confertus,Rumex crispus,Multiple,"40, 60, 80",6,60,Between,No,Within or Between,,,NA,NA,,
331,,NA,,,Rumex confertus,Rumex obtusifolius,Multiple,"40, 60, 80",4,40,Between,No,Within or Between,,,NA,NA,,
332,,NA,,,Rumex hydrolapathum,Rumex crispus,13,130,6,60,Between,No,Between,,,NA,NA,,
333,,NA,,,Rumex hydrolapathum,Rumex conglomeratus,13,130,2,20,Between,No,Between,,,NA,NA,,
334,,NA,,,Rumex hydrolapathum,Rumex obtusifolius,13,130,4,40,Between,No,Between,,,NA,NA,,
335,,NA,,,Rumex cristatus,Rumex patientia,8,80,6,60,Between,No,,,,NA,NA,,
336,,NA,,,Rumex cristatus,Rumex crispus,8,80,6,60,Between,No,,,,NA,NA,,
337,,NA,,,Rumex cristatus,Rumex conglomeratus,8,80,2,20,Between,No,Between,,,NA,NA,,
338,,NA,,,Rumex cristatus,Rumex obtusifolius,8,80,4,40,Between,No,Between,,,NA,NA,,
339,,NA,,,Rumex cristatus,Rumex palustris,8,80,6,60,Between,No,Between,,,NA,NA,,
340,,NA,,,Rumex patientia,Rumex crispus,6,60,6,60,Between,No,Between,Triple hybrid here with obtusifolius,,NA,NA,,
341,,NA,,,Rumex patientia,Rumex conglomeratus,6,60,2,20,Between,No,Between,,,NA,NA,,
342,,NA,,,Rumex patientia,Rumex obtusifolius,6,60,4,40,Between,No,Between,,,NA,NA,,
343,,NA,,,Rumex crispus,Rumex conglomeratus,6,60,2,20,Between,No,Between,,,NA,NA,,
344,,NA,,,Rumex crispus,Rumex rupestris,6,60,2,20,Between,No,Between,Triple hybrid with obtusifolius,,NA,NA,,
345,,NA,,,Rumex crispus,Rumex pulcher,6,60,Multiple,"20, 40",Between,No,Between,,,NA,NA,,
346,,NA,,"40, 60",Rumex crispus,Rumex obtusifolius,6,60,4,40,Between,No,Between,,,NA,NA,,
347,,NA,,,Rumex crispus,Rumex obovatus,6,60,4,40,Between,No,Between,,,NA,NA,,
348,,NA,,,Rumex crispus,Rumex palustris,6,60,6,60,Between,No,Between,,,NA,NA,,
349,,NA,,,Rumex crispus,Rumex maritimus,6,60,4,40,Between,No,Between,,,NA,NA,,
350,,NA,,"19, 20, 21, 25",Rumex conglomeratus,Rumex sanguineus,2,20,2,20,Between,No,Within,,,NA,NA,,
351,,NA,,20,Rumex conglomeratus,Rumex rupestris,2,20,2,20,Between,No,Within,,,NA,NA,,
352,,NA,,,Rumex conglomeratus,Rumex pulcher,2,20,Multiple,"20, 40",Between,No,Within and between,,,NA,NA,,
353,,NA,,,Rumex conglomeratus,Rumex obtusifolius,2,20,4,40,Between,No,Between,,,NA,NA,,
354,,NA,,,Rumex conglomeratus,Rumex palustris,2,20,6,60,Between,No,Between,,,NA,NA,,
355,,NA,,,Rumex conglomeratus,Rumex maritimus,2,20,4,40,Between,No,Between,,,NA,NA,,
356,,NA,,,Rumex sanguineus,Rumex pulcher,2,20,Multiple,"20, 40",Between,No,,,,NA,NA,,
357,,NA,,,Rumex sanguineus,Rumex obtusifolius,2,20,4,40,Between,No,Between,,,NA,NA,,
358,,NA,,,Rumex rupestris,Rumex pulcher,2,20,Multiple,"20, 40",Between,No,,,,NA,NA,,
360,,NA,,30,Rumex pulcher,Rumex obtusifolius,Multiple,"20, 40",4,40,Between,No,Between,,,NA,NA,,
361,,NA,,,Rumex obtusifolius,Rumex palustris,4,40,Multiple,"40, 60",Between,No,,,,NA,NA,,
362,,NA,,,Rumex obtusifolius,Rumex maritimus,4,40,4,40,Between,No,Within,,,NA,NA,,
363,,NA,,,Rumex dentatus,Rumex maritimus,4,40,4,40,Between,No,Within,,,NA,NA,,
364,,NA,,,Rumex palustris,Rumex maritimus,6,60,4,40,Between,No,,,,NA,NA,,
365,,NA,Triploid,30,Drosera rotundifolia,Drosera anglica,2,20,4,40,Between,No,Between,,,NA,NA,,
366,,NA,,,Drosera rotundifolia,Drosera intermedia,2,20,2,20,Between,No,Within,,,NA,NA,,
367,,NA,Octoploid,72,Cerastium arvense,Cerastium tomentosum,8,72,8,72,Between,No,Within,,,NA,NA,,
368,,NA,,,Cerastium arvense,Cerastium fontanum,8,72,Multiple,"72, 108, 144",Between,No,,,,NA,NA,,
369,,NA,,90,Cerastium alpinum,Cerastium nigrescens,8,72,12,108,Between,No,Between,,,NA,NA,,
370,,NA,,,Cerastium alpinum,Cerastium fontanum,8,72,Multiple,"72, 108, 144",Between,No,,,,NA,NA,,
371,,NA,,,Cerastium nigrescens,Cerastium fontanum,12,108,Multiple,"72, 108, 144",Between,No,,,,NA,NA,,
372,,NA,,,Cerastium fontanum,Cerastium diffusum,Multiple,"120, 144 (Russian book)",Unknown,,Between,No,,Tentative hybrid,,NA,NA,,
373,,NA,,,Sagina subulata,Sagina procumbens,2,22,2,22,Between,No,Within,,,NA,NA,,
374,,NA,,22,Sagina saginoides,Sagina procumbens,2,22,2,22,Between,No,Within,,,NA,NA,,
375,,NA,,36,Spergularia rupicola,Spergularia marina,2,36,2,36,Between,No,Within,,,NA,NA,,
376,,NA,,24,Silene vulgaris,Silene uniflora,2,24,2,24,Between,No,Within,,,NA,NA,,
377,,NA,,24,Silene latifolia,Silene dioica,2,24,2,24,Between,No,Within,,,NA,NA,,
378,,NA,,,Dianthus gratianopolitanus,Dianthus caryophyllus,Multiple,"60, 90",2,30,Between,No,Between,,,NA,NA,,
379,,NA,,,Dianthus gratianopolitanus,Dianthus plumarius,Multiple,"60, 90",6,90,Between,No,,,,NA,NA,,
380,,NA,,,Dianthus caryophyllus,Dianthus plumarius,2,30,6,90,Between,No,Between,,,NA,NA,,
381,,NA,,,Dysphania pumilio,Dysphania carinata,2,18,Unknown,16,Between,No,,,,NA,NA,,
382,,NA,,,Dysphania carinata,Dysphania cristata,Unknown,16,Unknown,,Between,No,,,,NA,NA,,
383,,NA,,18,Atriplex prostrata,Atriplex glabriuscula,2,18,2,18,Between,No,Within,,,NA,NA,,
384,,NA,,18,Atriplex prostrata,Atriplex littoralis,2,18,2,18,Between,No,Within,,,NA,NA,,
385,,NA,,18,Atriplex prostrata,Atriplex longipes,2,18,2,18,Between,No,Within,,,NA,NA,,
386,,NA,,18,Atriplex glabriuscula,Atriplex longipes,2,18,2,18,Between,No,Within,,,NA,NA,,
387,,NA,,27,Atriplex littoralis,Atriplex patula,2,18,4,36,Between,No,Between,,,NA,NA,,
388,,NA,,,Salicornia disarticulata,Salicornia ramosissima,2,18,2,18,Between,No,Within,,,NA,NA,,
389,,NA,,,Amaranthus retroflexus,Amaranthus hybridus,2,"34, 32",Multiple,"32, 24, 34",Between,No,Within?,,,NA,NA,,
390,,NA,,,Amaranthus retroflexus,Amaranthus powellii,2,"34, 32",2,32,Between,No,Within,,,NA,NA,,
391,,NA,,26,Philadelphus coronarius,Philadelphus microphyllus,2,26,2,26,Between,No,Within,Triple hybrid with P. pubescens,,NA,NA,,
392,,NA,,22,Primula vulgaris,Primula elatior,2,22,2,22,Between,No,Within,Triple hybrid with P. veris,,NA,NA,,
393,,NA,,22,Primula vulgaris,Primula veris,2,22,2,22,Between,No,Within,,,NA,NA,,
394,,NA,,,Primula vulgaris,Primula juliae,2,22,2,22,Between,No,Within,,,NA,NA,,
395,,NA,,22,Primula vulgaris,Primula veris,2,22,2,22,Between,No,Within,,,NA,NA,,
396,,NA,,,Erica ciliaris,Erica tetralix,2,24,2,24,Between,No,Within,,,NA,NA,,
397,,NA,,,Erica mackaiana,Erica tetralix,2,24,2,24,Between,No,Within,,,NA,NA,,
398,,NA,,,Erica tetralix,Erica vagans,2,24,2,24,Between,No,Within,,,NA,NA,,
399,,NA,,,Erica erigena,Erica herbacea,2,24,2,24,Between,No,Within,,,NA,NA,,
400,,NA,,77,Gaultheria shallon,Gaultheria mucronata,8,88,6,66,Between,No,Between,,,NA,NA,,
401,,NA,,,Vaccinium vitis-idaea,Vaccinium myrtillus,2,24,2,24,Between,No,Within,,,NA,NA,,
402,,NA,,,Galium verum,Galium album,4,44,4,44,Between,No,Within,,,NA,NA,,
403,,NA,,"33, 55",Galium sterneri,Galium saxatile,Multiple,"22, 44",4,44,Between,No,Within or Between,,,NA,NA,,
404,,NA,,"50-52, 54, 56-60",Centaurium erythraea,Centaurium littorale,4,40,4,40,Between,No,Within,Triple hybrid with C. pulchellum,,NA,NA,,
405,,NA,,,Centaurium erythraea,Centaurium pulchellum,4,40,4,36,Between,No,,,,NA,NA,,
406,,NA,,,Centaurium littorale,Centaurium pulchellum,4,40,4,36,Between,No,,,,NA,NA,,
407,,NA,,,Gentianella germanica,Gentianella amarella,4,36,4,36,Between,No,Within,,,NA,NA,,
410,,NA,,"36, 40",Symphytum officinale,Symphytum asperum,Multiple,"24, 48",4,32,Between,No,Between,"Triple hybrid with tuberosum, grandiflorum, orientale, caucasicum",,NA,NA,,
411,,NA,,48,Symphytum asperum,Symphytum orientale,4,32,4,32,Between,No,Within,Unpublished counts of higher chromosome numbers in orientale...,,NA,NA,,
412,,NA,,,Anchusa ochroleuca,Anchusa officinalis,3,24,2,16,Between,No,Between,Is A. ochroleuca exceptional or did Stace make a mistake? https://www.jstor.org/stable/2471022?seq=5#metadata_info_tab_contents,,NA,NA,,
413,,NA,,,Myosotis scorpioides,Myosotis laxa,Multiple,"64 (22, 64, 66)",Multiple,"(22, 44, 88)",Between,No,,,,NA,NA,,
414,,NA,,36,Myosotis secunda,Myosotis stolonifera,4,48,2,24,Between,No,Between,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1095-8339.1992.tb00417.x?casa_token=65DrBnT6JeYAAAAA:zJZoJXtpiLnDI8Qvwa6_l7uPwXqOo5A1vX9SS8CTib__EeXEYqLtbb9nBndTm2IsRRfiJlT7WzXa-g,Karyological studies on Spanish Boraginaceae. VI. Contribution to the tribe Eritrichieae,NA,NA,,
415,,NA,,,Calystegia sepium,Calystegia pulchra,2,22,2,22,Between,No,Within,,,NA,NA,,
416,,NA,,,Calystegia sepium,Calystegia silvatica,2,22,2,22,Between,No,Within,,,NA,NA,,
417,,NA,,,Calystegia pulchra,Calystegia silvatica,2,22,2,22,Between,No,Within,,,NA,NA,,
418,,NA,,48,Solanum americanum,Solanum nitidibaccatum,6,72,2,24,Between,No,Between,,,NA,NA,,
419,,NA,,18,Nicotiana alata,Nicotiana forgetiana,2,18,2,18,Between,No,Within,Comparative Studies on Diploid and Tetraploid Levels of Nicotiana alata,,NA,NA,,
420,,NA,,,Ligustrum vulgare,Ligustrum ovalifolium,2,46,2,46,Between,No,Within,Interspecific hybridisation in flowering shrubs,,NA,NA,,
421,,NA,,36,Veronica anagallis-aquatica,Veronica catenata,4,36,4,36,Between,No,Within,Pollen morphology in the genus Veronica L. (Plantaginaceae) and its systematic significance,,NA,NA,,
422,,NA,,,Veronica longifolia,Veronica spicata,8,"68 (34, 68)",8,"68 (34, 68)",Between,No,Within,,,NA,NA,,
423,,NA,,,Linaria vulgaris,Linaria repens,2,12,2,12,Between,No,Within,,,NA,NA,,
424,,NA,,,Linaria purpurea,Linaria repens,2,12,2,12,Between,No,Within,,,NA,NA,,
425,,NA,,,Linaria repens,Linaria supina,2,12,2,12,Between,No,Within,,,NA,NA,,
426,,NA,,,Verbascum blattaria,Verbascum nigrum,2,"30, 32",2,30,Between,No,Within,,,NA,NA,,
427,,NA,,,Verbascum virgatum,Verbascum thapsus,Multiple,"32, 64, 66",2,"34, 36",Between,No,Within,Triple hybrid with V pulverulentum,,NA,NA,,
428,,NA,,,Verbascum virgatum,Verbascum nigrum,Multiple,"32, 64, 66",2,30,Between,No,,,,NA,NA,,
429,,NA,,,Verbascum virgatum,Verbascum pulverulentum,Multiple,"32, 64, 66",2,32,Between,No,,,,NA,NA,,
430,,NA,,,Verbascum phoeniceum,Verbascum nigrum,2,"32, 36",2,30,Between,No,Within,,,NA,NA,,
431,,NA,,,Verbascum pyramidatum,Verbascum thapsus,2,32,2,"34, 36",Between,No,Within,,,NA,NA,,
432,,NA,,,Verbascum pyramidatum,Verbascum nigrum,2,32,2,30,Between,No,Within,,,NA,NA,,
433,,NA,,,Verbascum bombyciferum,Verbascum phlomoides,Unknown,,2,"32, 34",Between,No,,,,NA,NA,,
434,,NA,,,Verbascum bombyciferum,Verbascum nigrum,Unknown,,2,30,Between,No,,,,NA,NA,,
435,,NA,,,Verbascum phlomoides,Verbascum thapsus,2,"32, 34",2,"34, 36",Between,No,Within,,,NA,NA,,
